node,degree_centrality,betweenness_centrality,community
250,8.525149190110827e-05,4.055210043068654e-06,67
227,4.262574595055413e-05,0.0,67
229,4.262574595055413e-05,0.0,67
240,0.0001278772378516624,4.394551926523087e-05,67
253,0.022975277067348678,0.04696722154602159,11
248,8.525149190110827e-05,0.0,67
231,4.262574595055413e-05,0.0,67
249,8.525149190110827e-05,2.511412056173001e-05,67
247,0.0001278772378516624,7.779635335384831e-05,25
234,4.262574595055413e-05,0.0,67
236,4.262574595055413e-05,0.0,67
241,0.00034100596760443307,0.00012533826741327944,67
242,4.262574595055413e-05,0.0,67
246,8.525149190110827e-05,2.0437367722413273e-06,67
235,8.525149190110827e-05,4.2562891002535895e-07,67
233,4.262574595055413e-05,0.0,67
230,4.262574595055413e-05,0.0,67
243,4.262574595055413e-05,0.0,67
228,4.262574595055413e-05,0.0,67
244,4.262574595055413e-05,0.0,67
245,8.525149190110827e-05,5.079622485804206e-06,67
252,0.001918158567774936,0.004088558259156034,11
232,8.525149190110827e-05,2.686470172518743e-05,67
237,0.0002557544757033248,0.0001334759379901131,267
30,0.024296675191815855,0.024446440768704877,0
25348,8.525149190110827e-05,6.842231061928496e-06,0
101,0.02114236999147485,0.026705797437729495,3
36704,0.0001278772378516624,4.344144322669927e-05,3
261,4.262574595055413e-05,0.0,3
82,0.03567774936061381,0.07407795905451654,21
5041,0.0001278772378516624,2.244362957814821e-05,11
93,0.020161977834612106,0.012121214779507842,11
10,0.016410912190963342,0.04617398640550954,25
37386,0.00029838022165387895,0.00016741579547010726,25
265,4.262574595055413e-05,0.0,25
268,0.0001278772378516624,0.0,13
269,4.262574595055413e-05,0.0,13
272,0.015601023017902813,0.020763365981080986,10
21207,0.00017050298380221653,8.592404831992723e-05,11
276,4.262574595055413e-05,0.0,11
11,0.015601023017902813,0.012400405281139183,11
279,0.00029838022165387895,0.002649443395197689,226
14796,0.00021312872975277067,0.0016844052421294622,226
278,0.00042625745950554135,0.00019354696159403365,226
280,0.0012361466325660699,0.0003533375448566927,34
283,4.262574595055413e-05,0.0,14
40484,4.262574595055413e-05,0.0,14
18140,0.00021312872975277067,2.899840200897672e-05,20
296,0.0001278772378516624,0.0,11
295,0.00046888320545609546,0.00015460512409207165,11
297,8.525149190110827e-05,0.0,15
390,8.525149190110827e-05,0.0,0
5,0.0017050298380221654,0.0012631887477338364,0
29442,8.525149190110827e-05,2.752356477820413e-06,0
298,0.0001278772378516624,0.0,21
300,4.262574595055413e-05,0.0,16
301,0.00034100596760443307,0.0,16
299,4.262574595055413e-05,0.0,16
302,4.262574595055413e-05,0.0,16
305,4.262574595055413e-05,0.0,16
304,4.262574595055413e-05,0.0,16
303,4.262574595055413e-05,0.0,16
308,8.525149190110827e-05,0.0,17
324,0.00029838022165387895,0.00010531214762290308,0
396,0.02216538789428815,0.007155880223031859,497
12330,0.00017050298380221653,7.673288402501007e-05,497
397,4.262574595055413e-05,0.0,497
403,0.006521739130434782,0.0016258506794475163,497
2738,8.525149190110827e-05,3.836644201250503e-05,497
404,4.262574595055413e-05,0.0,497
411,4.262574595055413e-05,0.0,11
24300,8.525149190110827e-05,3.836644201250503e-05,11
417,0.003836317135549872,0.0015016678893699225,34
418,0.00034100596760443307,6.0432772075216856e-05,34
416,0.004816709292412617,0.0014746941875619325,11
428,0.00021312872975277067,3.836644201250503e-05,497
429,4.262574595055413e-05,0.0,497
443,4.262574595055413e-05,0.0,19
580,8.525149190110827e-05,0.0,19
444,4.262574595055413e-05,0.0,19
434,0.005626598465473145,0.0031201874485554566,11
445,0.00029838022165387895,0.00012027784101813584,20
262,0.039428815004262575,0.059687879678506695,496
102,0.008695652173913044,0.011605573753455427,20
447,0.000980392156862745,0.0001955702084149494,11
449,0.00021312872975277067,3.836644201250503e-05,11
448,4.262574595055413e-05,0.0,11
414,0.013554987212276215,0.01535168514674293,11
452,8.525149190110827e-05,0.0,22
455,0.0013640238704177323,0.00038398137415619543,11
454,4.262574595055413e-05,0.0,11
453,0.00029838022165387895,1.539157801726628e-05,11
456,8.525149190110827e-05,8.470073725972783e-07,11
457,8.525149190110827e-05,3.836644201250503e-05,21
14095,0.0001278772378516624,7.704254796097839e-05,21
408,0.002600170502983802,0.0013737911823067657,25
472,4.262574595055413e-05,0.0,23
478,4.262574595055413e-05,0.0,23
474,0.0001278772378516624,0.0,497
486,0.00021312872975277067,5.2844644188574124e-05,11
487,8.525149190110827e-05,0.0,11
287,0.006351236146632566,0.0022178698981156373,11
22767,0.0005967604433077579,0.00031141722541329483,11
490,0.0003836317135549872,0.00040686745383439085,11
491,0.0005541346973572037,0.00015419132594273927,11
18078,0.00021312872975277067,9.205632524517071e-05,18
496,8.525149190110827e-05,0.0,18
35323,0.00017050298380221653,0.0,3
498,8.525149190110827e-05,0.0,24
465,0.013512361466325661,0.013761146238643258,497
500,0.00017050298380221653,0.0,11
87,0.020801364023870415,0.021733439719185923,25
556,4.262574595055413e-05,0.0,25
473,0.001662404092071611,0.0018290323616996544,1224
505,0.00017050298380221653,3.836644201250503e-05,1224
506,4.262574595055413e-05,0.0,1224
508,0.00046888320545609546,0.00023085175678552272,11
511,4.262574595055413e-05,0.0,11
270,0.001619778346121057,0.0016530452659314003,11
512,4.262574595055413e-05,0.0,11
510,4.262574595055413e-05,0.0,11
514,4.262574595055413e-05,0.0,11
509,4.262574595055413e-05,0.0,11
515,0.00017050298380221653,5.0547960880083395e-05,497
513,4.262574595055413e-05,0.0,11
517,0.0001278772378516624,0.0,21
518,8.525149190110827e-05,3.836644201250503e-05,0
37054,4.262574595055413e-05,0.0,0
519,4.262574595055413e-05,0.0,11
520,0.00021312872975277067,3.836644201250503e-05,11
521,4.262574595055413e-05,0.0,11
1118,0.0002557544757033248,6.355149162989684e-05,11
523,0.0007672634271099744,0.00038269489136957537,11
2900,0.000639386189258312,0.000787745373279188,11
522,0.0010656436487638534,0.0002701977724775081,11
524,4.262574595055413e-05,0.0,11
525,8.525149190110827e-05,0.0,3
526,4.262574595055413e-05,0.0,26
527,0.0001278772378516624,0.0,26
541,0.00017050298380221653,8.228258943382383e-08,11
540,0.0026854219948849105,0.0033903319728672827,11
539,0.0009377664109121909,0.0002858523359551222,11
544,8.525149190110827e-05,0.0,27
557,0.00017050298380221653,3.836644201250503e-05,11
562,0.0001278772378516624,0.0,25
40403,4.262574595055413e-05,0.0,25
275,0.0029838022165387893,0.00208169339859784,11
485,0.0014919011082693947,0.00039373413712840403,11
588,0.0002557544757033248,5.439589214744393e-05,3
590,0.0001278772378516624,1.60629561588555e-05,0
591,0.0002557544757033248,9.024489636647185e-07,0
310,0.0009377664109121909,0.0003713954505083091,0
572,8.525149190110827e-05,3.836644201250503e-05,10
593,4.262574595055413e-05,0.0,10
592,0.005242966751918159,0.004955582705297596,10
583,8.525149190110827e-05,3.836644201250503e-05,11
598,4.262574595055413e-05,0.0,11
597,0.0008525149190110827,0.00047054091880635476,11
450,0.0002557544757033248,4.4759250958433663e-05,497
604,0.0002557544757033248,4.370463697446198e-05,21
605,0.001577152600170503,0.0008513907895950395,226
34746,4.262574595055413e-05,0.0,226
611,0.00017050298380221653,2.507239091187572e-06,25
614,8.525149190110827e-05,0.0,28
615,8.525149190110827e-05,0.0,29
8,0.014364876385336742,0.005152189304567459,497
616,4.262574595055413e-05,0.0,497
621,0.00017050298380221653,6.334578523250561e-06,497
623,0.0001278772378516624,0.0,30
622,4.262574595055413e-05,0.0,30
625,0.0003836317135549872,0.00017476709418912573,497
624,0.00034100596760443307,8.99354008731951e-09,497
626,0.0005541346973572037,5.567431738820039e-05,3
631,0.0002557544757033248,0.0,497
630,8.525149190110827e-05,0.0,497
632,0.00017050298380221653,0.0,497
647,0.00046888320545609546,7.442816520909181e-05,11
649,0.0001278772378516624,0.0,11
648,0.0001278772378516624,0.0,11
100,0.0002557544757033248,1.002213962007522e-06,1
650,0.00017050298380221653,0.0,497
549,0.00021312872975277067,1.379078704594225e-05,226
651,0.00021312872975277067,1.0679245265361039e-05,226
35423,4.262574595055413e-05,0.0,11
654,0.000639386189258312,0.00014209374982682027,497
655,4.262574595055413e-05,0.0,497
658,0.0001278772378516624,1.164737158849576e-08,497
657,0.0012361466325660699,0.00024406417305158944,497
656,0.0015345268542199487,0.0006748423169705472,497
307,0.0159846547314578,0.033033300880250326,32
661,0.00029838022165387895,2.6007040649658232e-06,497
1007,0.00017050298380221653,6.59355940871474e-08,497
663,4.262574595055413e-05,0.0,497
664,0.00021312872975277067,3.836644201250503e-05,497
